guid,CustomerDevelopmentScore,PerformancedScore,LivenessScore,totalScore,CustomerDevelopmentScoreRadar,PerformancedScoreRadar,LivenessScoreRadar,totalScoreRadar,BrokerLevelFlag,update_time
1276350751576301574,0,0,0,0,48,52,10,49,B,2020-12-22
1276343630872846345,0,0,0,0,48,52,10,49,B,2020-12-22
1303241670636216324,0,0,0,0,48,52,10,49,B,2020-12-22
1276339997863190529,0,0,0,0,48,52,10,49,B,2020-12-22
1294453768326356993,0,0,0,0,48,52,10,49,B,2020-12-22
1325271834123444226,0,0,0,0,48,52,10,49,B,2020-12-22
1277152547886473219,0,0,0,0,48,52,10,49,B,2020-12-22
1276352007267033102,0,0,0,0,48,52,10,49,B,2020-12-22
1322553921536925699,0,0,0,0,48,52,10,49,B,2020-12-22
1276388800796434449,0,0,0,0,48,52,10,49,B,2020-12-22
1281573898139344896,0,0,0,0,48,52,10,49,B,2020-12-22
1324652753217265665,0,0,0,0,48,52,10,49,B,2020-12-22
1276385103135776775,0,0,0,0,48,52,10,49,B,2020-12-22
1276368661141135368,0,0,0,0,48,52,10,49,B,2020-12-22
1276413847191822342,0,0,0,0,48,52,10,49,B,2020-12-22
1289108544171417601,0,0,0,0,48,52,10,49,B,2020-12-22
1276377625849372690,0,0,0,0,48,52,10,49,B,2020-12-22
1305129106278588416,0,0,0,0,48,52,10,49,B,2020-12-22
1276373108298752003,0,0,0,0,48,52,10,49,B,2020-12-22
1276392194609127429,0,0,0,0,48,52,10,49,B,2020-12-22
1291932150727319556,0,0,0,0,48,52,10,49,B,2020-12-22
1314792781138501632,0,0,0,0,48,52,10,49,B,2020-12-22
1276347834660167691,0,0,0,0,48,52,10,49,B,2020-12-22
1276367384436940802,0,0,0,0,48,52,10,49,B,2020-12-22
1295284238375067651,0,0,0,0,48,52,10,49,B,2020-12-22
1276341453878075405,0,0,0,0,95,0,87,0,D,2020-12-22
1276371702640680967,0,0,0,0,95,0,95,0,D,2020-12-22
1276371194798546952,0,0,0,0,95,0,89,0,D,2020-12-22
